gene,baseMean,log2FoldChange,padj
PLIN3,7.263528420587578,-3.9749065888906476,0.03297046089568385
KXD1,6.7536906942800625,-3.7330663841561416,0.03895744669341995
PIK3CG,28.315432310580114,4.445182741036254,0.005281081444708539
MTPN,21.63239172620918,-2.5865679326307616,0.032655987031690835
DNAJB6,26.476531759117194,-2.062965827764507,0.02257961701362433
COBL,19.118011897738842,2.0834865458029688,0.017364404054863933
RPA3,13.13293502845312,-5.526530054783464,0.006966285692664467
CHCHD3,8.456990210059251,-4.478719546887628,0.02131141392016873
PSMA2,38.85008100836272,-2.3821609070843914,0.011034206029476412
RHEB,26.9214089200472,-7.195423287645315,9.704592584521656e-5
FKTN,30.306450908590225,2.6436755463112935,3.498255680531251e-4
PLGRKT,13.490379167628499,-2.8629744746492465,0.036878976453172084
FUBP3,12.713751781746867,-3.666811047510701,0.021829647507062514
EDF1,69.35456442720556,-1.538275112888082,0.02312145468251398
BMPR1A,10.971854049462051,3.361530122547015,0.007249540708144864
ANKRD26,10.78068352336338,2.5490950243507378,0.03515997357780407
