size,2d_rnaEasy_0.1_AMG,2d_rnaEasy_0.01_AMG,2d_rnaEasy_0.05_AMG,3d_rnaEasy_1.0_AMG
635.5,0,0,400,702160
636.5,0,0,300,686640
637.5,0,0,300,671040
638.5,0,0,300,655280
639.5,0,0,300,639520
640.5,0,0,300,623680
641.5,0,0,200,607760
642.5,0,0,200,591840
643.5,0,0,200,576000
644.5,0,0,200,560080
645.5,0,0,200,544240
646.5,0,0,200,528560
647.5,0,0,200,512880
648.5,0,0,100,497360
649.5,0,0,100,481920
650.5,0,0,100,466640
651.5,0,0,100,451600
652.5,0,0,100,436640
653.5,0,0,0,421920
654.5,0,0,0,407440
655.5,0,0,0,393120
656.5,0,0,0,379040
657.5,0,0,0,365280
658.5,0,0,0,351680
659.5,0,0,0,338400
660.5,0,0,0,325360
661.5,0,0,0,312640
662.5,0,0,0,300240
663.5,0,0,0,288080
664.5,0,0,0,276240
665.5,0,0,0,264720
666.5,0,0,0,253440
667.5,0,0,0,242560
668.5,0,0,0,231920
669.5,0,0,0,221600
670.5,0,0,0,211600
671.5,0,0,0,201920
672.5,0,0,0,192560
673.5,0,0,0,183520
674.5,0,0,0,174720
675.5,0,0,0,166320
676.5,0,0,0,158160
677.5,0,0,0,150320
678.5,0,0,0,142720
679.5,0,0,0,135440
680.5,0,0,0,128480
681.5,0,0,0,121760
682.5,0,0,0,115280
683.5,0,0,0,109120
684.5,0,0,0,103200
685.5,0,0,0,97600
686.5,0,0,0,92160
687.5,0,0,0,86960
688.5,0,0,0,82080
689.5,0,0,0,77360
690.5,0,0,0,72880
691.5,0,0,0,68560
692.5,0,0,0,64480
693.5,0,0,0,60640
694.5,0,0,0,56960
695.5,0,0,0,53440
696.5,0,0,0,50160
697.5,0,0,0,47040
698.5,0,0,0,44000
699.5,0,0,0,41200
700.5,0,0,0,38560
701.5,0,0,0,36080
702.5,0,0,0,33680
703.5,0,0,0,31440
704.5,0,0,0,29280
705.5,0,0,0,27360
706.5,0,0,0,25440
707.5,0,0,0,23680
708.5,0,0,0,22080
709.5,0,0,0,20480
710.5,0,0,0,19040
711.5,0,0,0,17680
712.5,0,0,0,16400
713.5,0,0,0,15200
714.5,0,0,0,14080
715.5,0,0,0,13040
