size,3d_exotic_amg_1,3d_exotic_amg_2,3d_exotic_amg_3,3d_exotic_dmso_1,3d_exotic_dmso_2,3d_exotic_dmso_3
317.5,1275250,619660,1033645,1360840,802385,1067130
318.5,1257600,603180,1009315,1349790,801160,1047670
319.5,1239260,587125,985135,1338740,799900,1028450
320.5,1220230,571490,961105,1327625,798590,1009445
321.5,1200500,556260,937245,1316380,797200,990630
322.5,1180080,541420,913565,1304940,795700,971985
323.5,1158975,526960,890075,1293235,794070,953480
324.5,1137200,512875,866795,1281200,792285,935090
325.5,1114770,499155,843735,1268770,790325,916795
326.5,1091705,485790,820915,1255875,788160,898580
327.5,1068030,472780,798350,1242455,785775,880425
328.5,1043780,460110,776065,1228450,783145,862310
329.5,1018990,447785,754070,1213805,780255,844220
330.5,993695,435795,732385,1198470,777090,826150
331.5,967950,424135,711030,1182400,773625,808090
332.5,941790,412805,690025,1165560,769855,790030
333.5,915275,401800,669385,1147910,765765,771960
334.5,888460,391115,649130,1129430,761340,753890
335.5,861400,380755,629280,1110105,756575,735805
336.5,834160,370710,609845,1089930,751460,717720
337.5,806800,360975,590845,1068910,745990,699635
338.5,779390,351560,572300,1047055,740165,681550
339.5,751990,342450,554215,1024390,733980,663480
340.5,724665,333650,536610,1000955,727440,645435
341.5,697490,325160,519490,976790,720545,627420
342.5,670525,316965,502875,951950,713300,609455
343.5,643840,309075,486775,926505,705720,591555
344.5,617495,301480,471190,900535,697805,573730
345.5,591555,294180,456130,874115,689575,556000
346.5,566070,287165,441605,847345,681035,538380
347.5,541110,280440,427615,820325,672210,520890
348.5,516715,273990,414165,793165,663115,503550
349.5,492940,267815,401255,765980,653770,486380
350.5,469825,261915,388890,738885,644195,469390
351.5,447410,256275,377065,712000,634415,452610
352.5,425735,250890,365775,685455,624450,436050
353.5,404825,245755,355025,659375,614330,419730
354.5,384710,240865,344805,633875,604080,403675
355.5,365400,236210,335105,609075,593725,387890
356.5,346915,231785,325925,585105,583295,372400
357.5,329265,227575,317250,562065,572815,357215
358.5,312450,223580,309080,540070,562315,342355
359.5,296470,219785,301395,519215,551825,327825
360.5,281320,216180,294195,499595,541370,313640
361.5,266995,212765,287460,481290,530980,299815
362.5,253475,209520,281180,464370,520675,286350
363.5,240745,206440,275340,448910,510485,273265
364.5,228780,203510,269935,434955,500430,260555
365.5,217560,200730,264940,422550,490540,248230
366.5,207060,198085,260350,411725,480825,236300
367.5,197245,195570,256145,402505,471315,224755
368.5,188085,193165,252315,394895,462020,213610
369.5,179555,190870,248845,388900,452955,202855
370.5,171620,188675,245710,384510,444140,192490
371.5,164240,186565,242910,381705,435580,182520
372.5,157385,184535,240415,380460,427290,172930
373.5,151020,182575,238220,380735,419270,163730
374.5,145115,180680,236310,382485,411525,154905
375.5,139630,178835,234660,385665,404065,146450
376.5,134540,177040,233265,390210,396885,138360
377.5,129815,175285,232105,396060,389980,130630
378.5,125415,173560,231170,403140,383355,123250
379.5,121320,171855,230435,411380,376995,116205
380.5,117500,170175,229895,420695,370895,109495
381.5,113935,168500,229530,431005,365055,103110
382.5,110590,166835,229325,442220,359455,97030
383.5,107455,165170,229270,454250,354085,91255
384.5,104500,163495,229345,467000,348930,85775
385.5,101710,161815,229535,480370,343985,80570
386.5,99065,160120,229830,494265,339225,75640
387.5,96555,158405,230210,508580,334640,70970
388.5,94160,156670,230660,523215,330215,66545
389.5,91870,154905,231170,538070,325935,62365
390.5,89670,153115,231720,553035,321775,58410
391.5,87555,151290,232300,568005,317730,54675
392.5,85510,149435,232890,582885,313780,51150
393.5,83535,147545,233475,597565,309905,47825
394.5,81610,145615,234045,611950,306095,44690
395.5,79745,143645,234580,625940,302335,41735
396.5,77920,141640,235065,639440,298610,38950
397.5,76140,139590,235485,652365,294900,36330
398.5,74395,137505,235830,664625,291205,33865
399.5,72685,135375,236075,676145,287505,31545
400.5,71010,133205,236215,686855,283790,29370
401.5,69360,130995,236225,696680,280050,27320
402.5,67740,128745,236100,705565,276275,25400
403.5,66140,126460,235825,713465,272465,23600
404.5,64570,124135,235380,720340,268600,21910
405.5,63020,121780,234760,726150,264685,20325
406.5,61495,119385,233950,730885,260715,18840
407.5,59990,116960,232940,734525,256675,17450
408.5,58505,114510,231715,737070,252575,16150
409.5,57045,112030,230270,738525,248405,14935
410.5,55605,109525,228600,738920,244165,13795
411.5,54180,106995,226690,738265,239855,12735
412.5,52780,104450,224540,736610,235480,11745
413.5,51400,101890,222140,733995,231030,10820
414.5,50040,99315,219495,730470,226520,9960
415.5,48700,96735,216600,726095,221945,9160
416.5,47380,94145,213455,720935,217310,8415
417.5,46080,91550,210060,715060,212615,7725
418.5,44805,88955,206420,708550,207875,7080
419.5,43545,86370,202545,701480,203080,6485
420.5,42310,83785,198435,693930,198245,5935
421.5,41095,81215,194105,685980,193370,5425
422.5,39900,78660,189560,677715,188470,4950
423.5,38730,76120,184815,669220,183540,4515
424.5,37575,73600,179885,660565,178590,4115
425.5,36445,71105,174775,651830,173625,3745
426.5,35340,68635,169510,643090,168655,3405
427.5,34250,66200,164110,634415,163690,3095
428.5,33185,63790,158580,625865,158725,2805
429.5,32140,61420,152950,617500,153775,2545
430.5,31120,59090,147235,609375,148845,2305
431.5,30120,56795,141460,601530,143945,2090
432.5,29140,54550,135635,594010,139075,1890
433.5,28180,52345,129790,586840,134240,1710
434.5,27245,50185,123940,580050,129455,1545
435.5,26330,48080,118110,573655,124725,1400
436.5,25435,46020,112315,567660,120045,1265
437.5,24565,44015,106580,562075,115430,1145
438.5,23710,42060,100915,556885,110885,1035
439.5,22880,40160,95340,552080,106410,935
440.5,22070,38315,89875,547640,102015,850
441.5,21285,36525,84535,543545,97705,770
442.5,20515,34795,79330,539760,93480,700
443.5,19765,33115,74280,536240,89345,640
444.5,19035,31495,69390,532950,85300,585
445.5,18330,29935,64670,529845,81355,535
446.5,17640,28425,60130,526865,77515,495
447.5,16970,26975,55775,523965,73770,455
448.5,16320,25580,51615,521080,70135,420
449.5,15685,24235,47650,518155,66605,395
450.5,15075,22950,43880,515135,63185,370
451.5,14480,21715,40315,511945,59875,345
452.5,13900,20535,36945,508540,56675,325
453.5,13345,19405,33775,504855,53585,310
454.5,12800,18325,30800,500835,50605,295
455.5,12275,17295,28020,496420,47735,285
456.5,11770,16310,25425,491565,44980,275
457.5,11280,15375,23015,486225,42335,270
458.5,10805,14485,20780,480355,39795,260
459.5,10345,13635,18715,473925,37370,255
460.5,9900,12830,16810,466895,35045,255
461.5,9470,12065,15065,459255,32830,250
462.5,9060,11340,13460,450980,30715,250
463.5,8660,10655,12000,442065,28705,250
464.5,8275,10005,10670,432510,26790,250
465.5,7905,9390,9465,422325,24975,250
466.5,7545,8805,8370,411520,23255,250
467.5,7205,8255,7385,400125,21625,250
468.5,6870,7735,6500,388165,20085,255
469.5,6555,7245,5705,375680,18630,260
470.5,6250,6785,4995,362720,17260,260
471.5,5955,6345,4360,349330,15970,265
472.5,5670,5935,3800,335570,14760,270
473.5,5400,5550,3300,321500,13620,275
474.5,5140,5185,2860,307185,12555,285
475.5,4890,4845,2470,292695,11555,290
476.5,4650,4520,2130,278100,10625,295
477.5,4420,4220,1830,263475,9755,305
478.5,4200,3935,1570,248885,8945,315
479.5,3990,3670,1340,234410,8190,325
480.5,3785,3420,1145,220110,7490,335
481.5,3595,3185,975,206050,6840,345
482.5,3410,2965,825,192305,6235,355
483.5,3230,2760,700,178920,5680,365
484.5,3065,2565,590,165950,5165,380
485.5,2905,2385,495,153445,4695,395
486.5,2750,2220,420,141450,4255,410
487.5,2605,2060,350,129990,3855,425
488.5,2465,1915,290,119100,3490,440
489.5,2330,1775,245,108795,3150,460
490.5,2205,1645,200,99095,2840,480
491.5,2080,1525,170,90010,2560,500
492.5,1965,1415,140,81535,2300,525
493.5,1860,1310,115,73670,2070,550
494.5,1755,1210,95,66405,1855,575
495.5,1655,1120,75,59725,1660,605
496.5,1560,1035,65,53610,1485,635
497.5,1470,955,50,48045,1325,665
498.5,1385,885,40,43000,1185,700
499.5,1305,815,35,38450,1055,735
500.5,1230,750,30,34365,935,775
501.5,1160,695,20,30710,830,815
502.5,1090,640,20,27460,740,865
503.5,1025,585,15,24580,655,910
504.5,965,540,10,22040,575,965
505.5,905,495,10,19810,510,1020
506.5,850,455,5,17860,450,1080
507.5,800,420,5,16165,395,1145
508.5,750,385,0,14690,345,1215
509.5,705,350,0,13415,305,1290
510.5,660,325,0,12320,265,1365
511.5,620,295,0,11375,235,1455
512.5,580,270,0,10570,205,1545
513.5,540,245,0,9880,180,1645
514.5,510,225,0,9290,155,1750
515.5,475,205,0,8790,135,1865
516.5,445,190,0,8360,115,1985
517.5,415,170,0,7995,100,2115
518.5,390,155,0,7680,90,2260
519.5,365,140,0,7410,75,2410
520.5,340,130,0,7175,65,2570
521.5,315,120,0,6975,55,2745
522.5,295,105,0,6795,50,2930
523.5,275,95,0,6640,40,3130
524.5,255,90,0,6500,35,3345
525.5,240,80,0,6370,30,3575
526.5,225,70,0,6255,25,3820
527.5,210,65,0,6145,20,4085
528.5,195,60,0,6040,20,4365
529.5,180,55,0,5940,15,4670
530.5,170,50,0,5840,15,4990
531.5,155,45,0,5745,10,5335
532.5,145,40,0,5650,10,5700
533.5,135,35,0,5555,10,6090
534.5,125,30,0,5460,5,6510
535.5,115,30,0,5365,5,6955
536.5,110,25,0,5265,5,7425
537.5,100,25,0,5165,0,7930
538.5,95,20,0,5065,0,8465
539.5,85,20,0,4960,0,9030
540.5,80,15,0,4850,0,9630
541.5,75,15,0,4740,0,10265
542.5,70,15,0,4630,0,10940
543.5,65,10,0,4510,0,11650
544.5,60,10,0,4395,0,12400
545.5,55,10,0,4270,0,13190
546.5,50,10,0,4145,0,14020
547.5,45,10,0,4020,0,14895
548.5,45,5,0,3890,0,15810
549.5,40,5,0,3755,0,16770
550.5,35,5,0,3625,0,17775
551.5,35,0,0,3485,0,18820
552.5,30,0,0,3350,0,19915
553.5,30,0,0,3210,0,21050
554.5,25,0,0,3075,0,22230
555.5,25,0,0,2935,0,23450
556.5,20,0,0,2795,0,24710
557.5,20,0,0,2655,0,26015
558.5,20,0,0,2520,0,27355
559.5,15,0,0,2385,0,28730
560.5,15,0,0,2250,0,30140
561.5,15,0,0,2115,0,31575
562.5,15,0,0,1985,0,33040
