size,,3d_rnaEasy_DMSO_2,2d_rnaEasy_DMSO_1,3d_rnaEasy_DMSO_1
459.5,,1563100,5895500,4682600
460.5,,1499900,5662300,4630200
461.5,,1438200,5435500,4580600
462.5,,1378200,5215100,4533800
463.5,,1319600,5000900,4489500
464.5,,1262700,4792800,4447800
465.5,,1207400,4590800,4408500
466.5,,1153600,4394800,4371400
467.5,,1101400,4204600,4336600
468.5,,1050700,4020200,4303800
469.5,,1001700,3841600,4273100
470.5,,954200,3668500,4244200
471.5,,908300,3501000,4217100
472.5,,863900,3338900,4191700
473.5,,821100,3182200,4167800
474.5,,779700,3030700,4145400
475.5,,739900,2884400,4124400
476.5,,701600,2743200,4104600
477.5,,664800,2607000,4085900
478.5,,629400,2475700,4068300
479.5,,595400,2349200,4051600
480.5,,562800,2227500,4035800
481.5,,531600,2110400,4020700
482.5,,501700,1997900,4006300
483.5,,473200,1889800,3992300
484.5,,445900,1786000,3978900
485.5,,419900,1686600,3965800
486.5,,395100,1591300,3952900
487.5,,371500,1500100,3940300
488.5,,349100,1412900,3927700
489.5,,327700,1329500,3915100
490.5,,307500,1250000,3902400
491.5,,288200,1174100,3889600
492.5,,270000,1101800,3876600
493.5,,252800,1032900,3863200
494.5,,236500,967400,3849400
495.5,,221100,905200,3835200
496.5,,206500,846200,3820500
497.5,,192800,790200,3805200
498.5,,179900,737200,3789200
499.5,,167800,687000,3772600
500.5,,156300,639600,3755200
501.5,,145600,594800,3737000
502.5,,135500,552600,3717900
503.5,,126000,512800,3698000
504.5,,117200,475400,3677100
505.5,,108900,440200,3655300
506.5,,101100,407200,3632400
507.5,,93900,376200,3608600
508.5,,87100,347200,3583600
509.5,,80800,320100,3557600
510.5,,74900,294700,3530500
511.5,,69400,271100,3502300
512.5,,64200,249000,3473000
513.5,,59500,228500,3442500
514.5,,55100,209500,3410900
515.5,,50900,191700,3378200
516.5,,47100,175300,3344300
517.5,,43600,160100,3309300
518.5,,40300,146000,3273200
519.5,,37200,133000,3236000
520.5,,34400,121000,3197800
521.5,,31700,110000,3158500
522.5,,29300,99800,3118100
523.5,,27100,90500,3076800
524.5,,25000,81900,3034400
525.5,,23100,74100,2991200
526.5,,21300,66900,2947000
527.5,,19600,60300,2902000
528.5,,18100,54400,2856100
529.5,,16700,48900,2809500
530.5,,15400,43900,2762100
531.5,,14200,39400,2714100
532.5,,13100,35300,2665500
533.5,,12100,31600,2616200
534.5,,11100,28200,2566500
535.5,,10300,25200,2516300
536.5,,9400,22500,2465600
537.5,,8700,20000,2414700
538.5,,8000,17800,2363400
539.5,,7400,15800,2311900
540.5,,6800,14000,2260200
541.5,,6300,12400,2208400
542.5,,5800,10900,2156600
543.5,,5300,9700,2104800
544.5,,4900,8500,2053000
545.5,,4500,7500,2001300
546.5,,4200,6600,1949900
547.5,,3800,5800,1898600
548.5,,3500,5100,1847700
549.5,,3200,4500,1797100
550.5,,3000,3900,1746800
551.5,,2700,3400,1697000
552.5,,2500,3000,1647700
553.5,,2300,2600,1599000
554.5,,2100,2200,1550800
555.5,,2000,1900,1503200
556.5,,1800,1700,1456200
557.5,,1700,1500,1410000
558.5,,1500,1300,1364500
559.5,,1400,1100,1319700
560.5,,1300,900,1275700
561.5,,1200,800,1232600
562.5,,1100,700,1190200
563.5,,1000,600,1148700
564.5,,900,500,1108100
565.5,,900,400,1068300
566.5,,800,400,1029500
567.5,,700,300,991500
568.5,,700,300,954500
569.5,,600,200,918400
570.5,,600,200,883200
571.5,,500,200,849000
572.5,,500,100,815600
573.5,,400,100,783200
574.5,,400,100,751700
575.5,,400,0,721200
576.5,,300,0,691500
577.5,,300,0,662700
578.5,,300,0,634800
579.5,,300,0,607800
580.5,,200,0,581700
581.5,,200,0,556400
582.5,,200,0,532000
583.5,,200,0,508400
584.5,,200,0,485600
585.5,,200,0,463500
586.5,,100,0,442300
587.5,,100,0,421800
588.5,,100,0,402100
589.5,,100,0,383100
590.5,,100,0,364800
591.5,,0,0,347200
592.5,,0,0,330200
593.5,,0,0,314000
594.5,,0,0,298300
595.5,,0,0,283300
596.5,,0,0,268900
597.5,,0,0,255100
